ID,Nome,Tipo
25112,Painel do sistema:Vazio:959323,IfcPlate
25124,Painel do sistema:Vazio:959325,IfcPlate
25136,Painel do sistema:Vazio:959327,IfcPlate
25148,Painel do sistema:Vazio:959329,IfcPlate
25160,Painel do sistema:Vazio:959331,IfcPlate
25172,Painel do sistema:Vazio:959333,IfcPlate
25184,Painel do sistema:Vazio:959335,IfcPlate
25196,Montante retangular:50 x 150mm telhado axiom:959272,IfcMember
25208,Montante retangular:50 x 150mm telhado axiom:959273,IfcMember
25220,Montante retangular:50 x 150mm telhado axiom:959340,IfcMember
25232,Montante retangular:50 x 150mm telhado axiom:959341,IfcMember
25244,Montante retangular:50 x 150mm telhado axiom:959342,IfcMember
25256,Montante retangular:50 x 150mm telhado axiom:959343,IfcMember
25268,Montante retangular:50 x 150mm telhado axiom:959344,IfcMember
25280,Montante retangular:50 x 150mm telhado axiom:959345,IfcMember
25292,Montante retangular:50 x 150mm telhado axiom:959346,IfcMember
25304,Montante retangular:50 x 150mm telhado axiom:959347,IfcMember
25316,Montante retangular:50 x 150mm telhado axiom:959348,IfcMember
25328,Montante retangular:50 x 150mm telhado axiom:959349,IfcMember
25340,Montante retangular:50 x 150mm telhado axiom:959350,IfcMember
25352,Montante retangular:50 x 150mm telhado axiom:959351,IfcMember
25364,Montante retangular:50 x 150mm telhado axiom:959352,IfcMember
25376,Montante retangular:50 x 150mm telhado axiom:959353,IfcMember
25388,Montante retangular:50 x 150mm telhado axiom:959354,IfcMember
26069,Fascia:Frontão:959386,IfcBuildingElementProxy
26219,Fascia:Frontão:959389,IfcBuildingElementProxy
26230,Basic Roof:Telhado Colonial:960425,IfcRoof
26246,Basic Roof:Telhado Colonial:960425,IfcSlab
26267,Basic Roof:Telhado Colonial:960425,IfcSlab
26303,Sloped Glazing:Vidraça inclinada:960513,IfcRoof
26315,Painel do sistema:Vazio:960537,IfcPlate
26327,Painel do sistema:Vazio:960547,IfcPlate
26339,Painel do sistema:Vazio:960549,IfcPlate
26351,Painel do sistema:Vazio:960551,IfcPlate
26363,Painel do sistema:Vazio:960553,IfcPlate
26375,Painel do sistema:Vazio:960555,IfcPlate
26387,Painel do sistema:Vazio:960557,IfcPlate
26399,Painel do sistema:Vazio:960559,IfcPlate
26411,Painel do sistema:Vazio:960561,IfcPlate
26423,Painel do sistema:Vazio:960563,IfcPlate
26435,Montante retangular:50 x 150mm telhado axiom:960544,IfcMember
26447,Montante retangular:50 x 150mm telhado axiom:960545,IfcMember
26472,Montante retangular:50 x 150mm telhado axiom:960598,IfcMember
26484,Montante retangular:50 x 150mm telhado axiom:960599,IfcMember
26496,Montante retangular:50 x 150mm telhado axiom:960600,IfcMember
26508,Montante retangular:50 x 150mm telhado axiom:960601,IfcMember
26520,Montante retangular:50 x 150mm telhado axiom:960602,IfcMember
26532,Montante retangular:50 x 150mm telhado axiom:960603,IfcMember
26544,Montante retangular:50 x 150mm telhado axiom:960604,IfcMember
26556,Montante retangular:50 x 150mm telhado axiom:960605,IfcMember
26568,Montante retangular:50 x 150mm telhado axiom:960606,IfcMember
26604,Painel do sistema:Vazio:960538,IfcPlate
26628,Painel do sistema:Vazio:960565,IfcPlate
26640,Painel do sistema:Vazio:960567,IfcPlate
26652,Painel do sistema:Vazio:960569,IfcPlate
26664,Painel do sistema:Vazio:960571,IfcPlate
