ID,Nome,Tipo,GlobalId,Descrição,Modelo,Unidade de Medida
3725,Basic Wall:15cm - Pintura Branca / Pintura Branca:863400,IfcWall,0Q9OcOgFXBwAsWnAPEODSU,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3799,Basic Wall:15cm - Pintura Branca / Pintura Branca:863604,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEODR2,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3809,Basic Wall:15cm - Pintura Branca / Pintura Branca:863604:1,IfcOpeningElement,1U1mOu8C_rSm8D_IDZ4nOu,,Opening,N/A
3871,Basic Wall:15cm - Pintura Branca / Pintura Branca:863828,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEODNY,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3887,Basic Wall:15cm - Pintura Branca / Pintura Branca:863828:1,IfcOpeningElement,2QKgpcQ_U5Ecn5kQesxxGz,,Opening,N/A
3922,Floor:Porcelanato Cinza:863872,IfcSlab,0Q9OcOgFXBwAsWnAPEODKs,,Floor:Porcelanato Cinza,FLOOR
3936,Basic Roof:Telhado Colonial:863885,IfcRoof,0Q9OcOgFXBwAsWnAPEODKx,,Basic Roof:Telhado Colonial,N/A
3961,Basic Roof:Telhado Colonial:863885,IfcSlab,0Q9OcOgFXBwAsWnAHEODKx,,Basic Roof:Telhado Colonial,ROOF
3994,Basic Roof:Telhado Colonial:863885,IfcSlab,0Q9OcOgFXBwAsWnALEODKx,,Basic Roof:Telhado Colonial,ROOF
4185,Basic Wall:15cm - Pintura Branca / Pintura Branca:864890,IfcWall,0YrmilRTbFKwgE1zOyuBQl,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
4510,PORTA DE ABRIR - 1 FOLHA:60 x 210:868445,IfcDoor,0YrmilRTbFKwgE1zOyuCI8,,PORTA DE ABRIR - 1 FOLHA:60 x 210,N/A
5932,PORTA VENEZIANA DE ABRIR - 2 FOLHAS:105 X 2110:872232,IfcDoor,0YrmilRTbFKwgE1zOyuClz,,PORTA VENEZIANA DE ABRIR - 2 FOLHAS:105 X 2110,N/A
6247,PORTA DE ABRIR - 1 FOLHA:70 x 210:873211,IfcDoor,3VgqswZ81AMBeIOGo7VtYu,,PORTA DE ABRIR - 1 FOLHA:70 x 210,N/A
6554,PORTA DE ABRIR - 1 FOLHA:80 x 210:873317,IfcDoor,3VgqswZ81AMBeIOGo7Vtac,,PORTA DE ABRIR - 1 FOLHA:80 x 210,N/A
6860,PORTA DE ABRIR - 1 FOLHA:80 x 210:873448,IfcDoor,3VgqswZ81AMBeIOGo7Vtch,,PORTA DE ABRIR - 1 FOLHA:80 x 210,N/A
